parmy@fedora:~$ readelf -Ws libc-2.23.so

Symbol table '.dynsym' contains 2415 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
   241: 000f8d70   154 FUNC    GLOBAL DEFAULT   13 setservent@@GLIBC_2.0
   242: 000e61e0    36 FUNC    GLOBAL DEFAULT   13 timerfd_create@@GLIBC_2.8
   243: 00074ae0    57 IFUNC   GLOBAL DEFAULT   13 strrchr@@GLIBC_2.0
   244: 00119850   287 FUNC    WEAK   DEFAULT   13 posix_openpt@@GLIBC_2.2.1
   245: 00110940    68 FUNC    GLOBAL DEFAULT   13 svcerr_systemerr@@GLIBC_2.0
   246: 000671f0    56 FUNC    WEAK   DEFAULT   13 fflush_unlocked@@GLIBC_2.0
   247: 000250f0    23 FUNC    GLOBAL DEFAULT   13 __isgraph_l@@GLIBC_2.1
   248: 000f47f0    40 FUNC    GLOBAL DEFAULT   13 __swprintf_chk@@GLIBC_2.4
   249: 00060f90    41 FUNC    GLOBAL DEFAULT   13 vwprintf@@GLIBC_2.2
   250: 000aeef0   148 FUNC    WEAK   DEFAULT   13 wait@@GLIBC_2.0
   251: 0005f6c0   321 FUNC    WEAK   DEFAULT   13 setbuffer@@GLIBC_2.0
   252: 000726c0    98 FUNC    WEAK   DEFAULT   13 posix_memalign@@GLIBC_2.2
   253: 000d3710    29 FUNC    GLOBAL DEFAULT   13 posix_spawnattr_setschedpolicy@@GLIBC_2.2
   254: 0007c7b0    33 FUNC    GLOBAL DEFAULT   13 __strcpy_g@@GLIBC_2.1.1
   255: 000ff2a0   274 FUNC    GLOBAL DEFAULT   13 getipv4sourcefilter@@GLIBC_2.3.4
   256: 000f4b40   301 FUNC    GLOBAL DEFAULT   13 __vwprintf_chk@@GLIBC_2.4
   257: 000f5730    85 FUNC    GLOBAL DEFAULT   13 __longjmp_chk@@GLIBC_2.11
   258: 0005adf0   115 FUNC    GLOBAL DEFAULT   13 tempnam@@GLIBC_2.0
   259: 00024d50    35 FUNC    GLOBAL DEFAULT   13 isalpha@@GLIBC_2.0
   260: 00034300    26 FUNC    WEAK   DEFAULT   13 strtof_l@@GLIBC_2.3
   261: 000c8c50   222 FUNC    GLOBAL DEFAULT   13 regexec@@GLIBC_2.3.4
   262: 000e5570    79 FUNC    WEAK   DEFAULT   13 llseek@@GLIBC_2.0
   263: 000de490    29 FUNC    GLOBAL DEFAULT   13 revoke@@GLIBC_2.0
   264: 00121470    49 FUNC    GLOBAL DEFAULT   13 regexec@GLIBC_2.0
   265: 000c8d30    37 FUNC    WEAK   DEFAULT   13 re_match@@GLIBC_2.0
   266: 000e27e0  1001 FUNC    WEAK   DEFAULT   13 tdelete@@GLIBC_2.0
   267: 000d4cc0    32 FUNC    WEAK   DEFAULT   13 pipe@@GLIBC_2.0
   268: 000d5ef0    44 FUNC    GLOBAL DEFAULT   13 readlinkat@@GLIBC_2.4
   269: 000f43d0    68 FUNC    GLOBAL DEFAULT   13 __wctomb_chk@@GLIBC_2.4
   270: 000e3c40    42 FUNC    WEAK   DEFAULT   13 get_avphys_pages@@GLIBC_2.0
   271: 0010d630   390 FUNC    GLOBAL DEFAULT   13 authunix_create_default@@GLIBC_2.0
   272: 000648d0   163 FUNC    GLOBAL DEFAULT   13 _IO_ferror@@GLIBC_2.0
